box: 0
-0.98	-0.18	-0.18
-0.98	-0.18	-0.1
-0.98	-0.18	-0.02
-0.98	-0.1	-0.18
-0.98	-0.1	-0.1
-0.98	-0.1	-0.02
-0.98	-0.02	-0.18
-0.98	-0.02	-0.1
-0.98	-0.02	-0.02
-0.9	-0.18	-0.18
-0.9	-0.18	-0.1
-0.9	-0.18	-0.02
-0.9	-0.1	-0.18
-0.9	-0.1	-0.1
-0.9	-0.1	-0.02
-0.9	-0.02	-0.18
-0.9	-0.02	-0.1
-0.9	-0.02	-0.02
-0.82	-0.18	-0.18
-0.82	-0.18	-0.1
-0.82	-0.18	-0.02
-0.82	-0.1	-0.18
-0.82	-0.1	-0.1
-0.82	-0.1	-0.02
-0.82	-0.02	-0.18
-0.82	-0.02	-0.1
-0.82	-0.02	-0.02
box: 1
-0.98	-0.18	0.02
-0.98	-0.18	0.1
-0.98	-0.18	0.18
-0.98	-0.1	0.02
-0.98	-0.1	0.1
-0.98	-0.1	0.18
-0.98	-0.02	0.02
-0.98	-0.02	0.1
-0.98	-0.02	0.18
-0.9	-0.18	0.02
-0.9	-0.18	0.1
-0.9	-0.18	0.18
-0.9	-0.1	0.02
-0.9	-0.1	0.1
-0.9	-0.1	0.18
-0.9	-0.02	0.02
-0.9	-0.02	0.1
-0.9	-0.02	0.18
-0.82	-0.18	0.02
-0.82	-0.18	0.1
-0.82	-0.18	0.18
-0.82	-0.1	0.02
-0.82	-0.1	0.1
-0.82	-0.1	0.18
-0.82	-0.02	0.02
-0.82	-0.02	0.1
-0.82	-0.02	0.18
box: 2
-0.98	0.02	-0.18
-0.98	0.02	-0.1
-0.98	0.02	-0.02
-0.98	0.1	-0.18
-0.98	0.1	-0.1
-0.98	0.1	-0.02
-0.98	0.18	-0.18
-0.98	0.18	-0.1
-0.98	0.18	-0.02
-0.9	0.02	-0.18
-0.9	0.02	-0.1
-0.9	0.02	-0.02
-0.9	0.1	-0.18
-0.9	0.1	-0.1
-0.9	0.1	-0.02
-0.9	0.18	-0.18
-0.9	0.18	-0.1
-0.9	0.18	-0.02
-0.82	0.02	-0.18
-0.82	0.02	-0.1
-0.82	0.02	-0.02
-0.82	0.1	-0.18
-0.82	0.1	-0.1
-0.82	0.1	-0.02
-0.82	0.18	-0.18
-0.82	0.18	-0.1
-0.82	0.18	-0.02
box: 3
-0.98	0.02	0.02
-0.98	0.02	0.1
-0.98	0.02	0.18
-0.98	0.1	0.02
-0.98	0.1	0.1
-0.98	0.1	0.18
-0.98	0.18	0.02
-0.98	0.18	0.1
-0.98	0.18	0.18
-0.9	0.02	0.02
-0.9	0.02	0.1
-0.9	0.02	0.18
-0.9	0.1	0.02
-0.9	0.1	0.1
-0.9	0.1	0.18
-0.9	0.18	0.02
-0.9	0.18	0.1
-0.9	0.18	0.18
-0.82	0.02	0.02
-0.82	0.02	0.1
-0.82	0.02	0.18
-0.82	0.1	0.02
-0.82	0.1	0.1
-0.82	0.1	0.18
-0.82	0.18	0.02
-0.82	0.18	0.1
-0.82	0.18	0.18
box: 4
-0.78	-0.38	-0.18
-0.78	-0.38	-0.1
-0.78	-0.38	-0.02
-0.78	-0.3	-0.18
-0.78	-0.3	-0.1
-0.78	-0.3	-0.02
-0.78	-0.22	-0.18
-0.78	-0.22	-0.1
-0.78	-0.22	-0.02
-0.7	-0.38	-0.18
-0.7	-0.38	-0.1
-0.7	-0.38	-0.02
-0.7	-0.3	-0.18
-0.7	-0.3	-0.1
-0.7	-0.3	-0.02
-0.7	-0.22	-0.18
-0.7	-0.22	-0.1
-0.7	-0.22	-0.02
-0.62	-0.38	-0.18
-0.62	-0.38	-0.1
-0.62	-0.38	-0.02
-0.62	-0.3	-0.18
-0.62	-0.3	-0.1
-0.62	-0.3	-0.02
-0.62	-0.22	-0.18
-0.62	-0.22	-0.1
-0.62	-0.22	-0.02
box: 5
-0.78	-0.38	0.02
-0.78	-0.38	0.1
-0.78	-0.38	0.18
-0.78	-0.3	0.02
-0.78	-0.3	0.1
-0.78	-0.3	0.18
-0.78	-0.22	0.02
-0.78	-0.22	0.1
-0.78	-0.22	0.18
-0.7	-0.38	0.02
-0.7	-0.38	0.1
-0.7	-0.38	0.18
-0.7	-0.3	0.02
-0.7	-0.3	0.1
-0.7	-0.3	0.18
-0.7	-0.22	0.02
-0.7	-0.22	0.1
-0.7	-0.22	0.18
-0.62	-0.38	0.02
-0.62	-0.38	0.1
-0.62	-0.38	0.18
-0.62	-0.3	0.02
-0.62	-0.3	0.1
-0.62	-0.3	0.18
-0.62	-0.22	0.02
-0.62	-0.22	0.1
-0.62	-0.22	0.18
box: 6
-0.78	-0.18	-0.38
-0.78	-0.18	-0.3
-0.78	-0.18	-0.22
-0.78	-0.1	-0.38
